
Vector No.	Program Address	Vector Name	Interrupt Definition
2	0x002	INT0_vect	External interrupt request 0
3	0x0004	INT1_vect	External interrupt request 1
4	0x0006	PCINT0_vect	Pin change interrupt request 0
5	0x0008	PCINT1_vect	Pin change interrupt request 1
6	0x000A	PCINT2_vect	Pin change interrupt request 2
7	0x000C	WDT_vect	Watchdog time-out interrupt
8	0x000E	TIMER2_COMPA_vect	Timer/Counter2 compare match A
9	0x0010	TIMER2_COMPB_vect	Timer/Counter2 compare match B
10	0x0012	TIMER2_OVF_vect	Timer/Counter2 overflow
11	0x0014	TIMER1_CAPT_vect	Timer/Counter1 capture event
12	0x0016	TIMER1_COMPA_vect	Timer/Counter1 compare match A
13	0x0018	TIMER1_COMPB_vect	Timer/Counter1 compare match B
14	0x001A	TIMER1_OVF_vect	Timer/Counter1 overflow
15	0x001C	TIMER0_COMPA_vect	Timer/Counter0 compare match A
16	0x001E	TIMER0_COMPB_vect	Timer/Counter0 compare match B
17	0x0020	TIMER0_OVF_vect	Timer/Counter0 overflow
18	0x0022	SPI_STC_vect	SPI serial transfer complete
19	0x0024	USART_RX_vect	USART Rx complete
20	0x0026	USART_UDRE_vect	USART, data register empty
21	0x0028	USART_TX_vect	USART, Tx complete
22	0x002A	ADC_vect	ADC conversion complete
23	0x002C	EE_READY_vect	EEPROM ready
24	0x002E	ANALOG_COMP_vect	Analog comparator
25	0x0030	TWI_vect	2-wire serial interface (I2C)
26	0x0032	SPM_READY_vect	Store program memory ready
